channel,importance
63,0.07075050473213196
0,0.058264270424842834
45,0.0526774525642395
21,0.04632720351219177
38,0.04258989915251732
47,0.040344465523958206
59,0.03936341777443886
73,0.0383281409740448
62,0.03714136779308319
34,0.03328856825828552
53,0.032705508172512054
37,0.03106965497136116
70,0.026423145085573196
15,0.02512071281671524
54,0.024153314530849457
56,0.02253030613064766
60,0.021084707230329514
61,0.020534586161375046
49,0.020311731845140457
48,0.018624702468514442
52,0.01817256771028042
66,0.01766275428235531
71,0.01734977215528488
46,0.0168751273304224
23,0.016856273636221886
17,0.01580069772899151
35,0.014987963251769543
58,0.014194590970873833
16,0.014064298942685127
39,0.013428148813545704
